system:index,B1,B10,B11,B12,B2,B3,B4,B5,B6,B7,B8,B8A,B9,Latitude,Longitude,NDVI,NDWI,QA10,QA20,QA60,.geo
0_+861676+204018,1370.5,17.5,1495.5,1088.5,1142.0,1015.5,1046.5,1094.0,1283.5,1460.5,1307.0,1598.5,327.5,18.327293679313858,77.40571699166148,0.10934992134571075,-0.06823797523975372,0.0,0.0,0.0,
0_+861676+204019,1370.5,17.5,1389.5,1059.0,1139.5,999.5,1027.0,1043.0,1188.5,1317.5,1292.5,1445.5,327.5,18.32738351084227,77.40571699166148,0.1156935766339302,-0.03473487123847008,0.0,0.0,0.0,
0_+861676+204028,1374.0,18.0,1270.5,966.5,1153.5,1027.0,1025.5,1007.5,1123.5,1231.5,1176.0,1306.5,340.0,18.32819199459798,77.40571699166148,0.06829772889614105,-0.038558363914489746,0.0,0.0,0.0,
0_+861676+204029,1439.0,26.0,1271.0,913.0,1196.0,1048.0,1065.0,1040.0,1110.0,1262.0,1194.0,1357.0,247.0,18.32828182612639,77.40571699166148,0.057104915380477905,-0.031237322837114334,0.0,0.0,0.0,
0_+861676+204030,1367.0,17.5,1244.5,947.0,1141.5,1001.5,1031.0,1020.5,1111.0,1250.5,1235.0,1322.0,308.0,18.328371657654802,77.40571699166148,0.08992304652929306,-0.003896568901836872,0.0,0.0,0.0,
0_+861676+204031,,,,,,,,,,,,,,18.328461489183216,77.40571699166148,,,,,,
0_+861676+204032,1439.0,26.0,1248.0,937.0,1187.0,1020.0,1041.0,1009.0,1157.0,1252.0,1151.0,1361.0,247.0,18.328551320711625,77.40571699166148,0.05018248036503792,-0.04043351486325264,0.0,0.0,0.0,
0_+861676+204033,1426.0,27.0,1195.0,870.0,1178.0,1040.0,1028.0,1000.0,1064.0,1155.0,1162.0,1249.0,244.0,18.32864115224004,77.40571699166148,0.06118721514940262,-0.01400084886699915,0.0,0.0,0.0,
0_+861676+204034,1356.5,17.5,1203.0,909.0,1118.0,971.5,986.5,1002.0,1072.5,1174.0,1099.0,1258.5,296.5,18.328730983768452,77.40571699166148,0.05408167093992233,-0.04527406394481659,0.0,0.0,0.0,
0_+861676+204035,1364.5,16.5,1125.5,880.5,1104.5,958.5,957.5,970.5,1038.5,1140.0,1036.5,1227.5,306.0,18.32882081529686,77.40571699166148,0.03975813835859299,-0.04117978736758232,0.0,0.0,0.0,
0_+861676+204036,1364.5,16.5,1125.5,880.5,1100.5,942.5,937.0,970.5,1038.5,1140.0,1019.0,1227.5,306.0,18.328910646825275,77.40571699166148,0.04221177101135254,-0.04965589568018913,0.0,0.0,0.0,
0_+861676+204037,1364.5,16.5,1140.0,878.0,1101.5,937.5,932.5,968.5,1020.0,1114.0,1005.0,1187.5,306.0,18.329000478353688,77.40571699166148,0.03780355304479599,-0.06287888437509537,0.0,0.0,0.0,
0_+861676+204038,1364.5,16.5,1140.0,878.0,1110.0,941.5,941.0,968.5,1020.0,1114.0,1005.0,1187.5,306.0,18.329090309882098,77.40571699166148,0.033226583153009415,-0.0629010945558548,0.0,0.0,0.0,
0_+861676+204039,1364.5,16.5,1203.5,931.0,1114.0,946.0,946.0,996.0,1055.0,1175.5,1010.5,1232.0,306.0,18.32918014141051,77.40571699166148,0.03342371806502342,-0.08692921698093414,0.0,0.0,0.0,
0_+861676+204040,1364.5,16.5,1203.5,931.0,1121.0,963.5,964.0,996.0,1055.0,1175.5,1068.0,1232.0,306.0,18.32926997293892,77.40571699166148,0.05172627791762352,-0.05948096513748169,0.0,0.0,0.0,
0_+861676+204041,1368.0,17.0,1261.0,976.0,1128.5,993.5,1011.5,1008.0,1094.0,1211.0,1134.0,1284.0,303.5,18.329359804467334,77.40571699166148,0.05750078707933426,-0.05321163311600685,0.0,0.0,0.0,
0_+861677+204009,1391.5,18.0,1676.0,1247.0,1153.0,1039.5,1043.5,1157.5,1325.5,1503.5,1469.0,1633.0,400.0,18.326485195558153,77.40580682318989,0.16901536285877228,-0.06607796251773834,0.0,0.0,0.0,
0_+861677+204010,1391.5,18.0,1676.0,1247.0,1133.0,986.5,1005.5,1157.5,1325.5,1503.5,1330.5,1633.0,400.0,18.326575027086562,77.40580682318989,0.13727334141731262,-0.11636222898960114,0.0,0.0,0.0,
0_+861677+204011,1378.0,17.5,1497.0,1131.5,1105.0,952.0,923.0,1075.5,1204.5,1327.0,1176.5,1454.5,345.5,18.326664858614976,77.40580682318989,0.12057576328516006,-0.12003746628761292,0.0,0.0,0.0,
0_+861677+204012,1378.0,17.5,1497.0,1131.5,1088.0,938.5,910.0,1075.5,1204.5,1327.0,1155.0,1454.5,345.5,18.32675469014339,77.40580682318989,0.11940613389015198,-0.1292898952960968,0.0,0.0,0.0,
0_+861677+204013,1378.0,17.5,1519.5,1160.5,1115.5,962.5,964.0,1085.0,1239.0,1362.5,1144.5,1509.5,345.5,18.3268445216718,77.40580682318989,0.08651991933584213,-0.14059951901435852,0.0,0.0,0.0,
0_+861677+204014,1378.0,17.5,1519.5,1160.5,1148.0,1004.5,1046.0,1085.0,1239.0,1362.5,1250.5,1509.5,345.5,18.326934353200212,77.40580682318989,0.08938673138618469,-0.09707161784172058,0.0,0.0,0.0,
0_+861677+204015,1378.0,17.5,1571.5,1131.5,1137.5,1014.5,1043.5,1096.5,1353.0,1563.0,1403.0,1669.0,345.5,18.327024184728625,77.40580682318989,0.14631488919258118,-0.05670584738254547,0.0,0.0,0.0,
0_+861677+204016,1449.0,26.0,1645.0,1152.0,1167.0,1021.0,1005.0,1122.0,1377.0,1614.0,1516.0,1720.0,288.0,18.327114016257035,77.40580682318989,0.20269733667373657,-0.04080986976623535,0.0,0.0,0.0,
0_+861677+204017,1450.0,27.0,1605.0,1142.0,1194.0,1064.0,1076.0,1129.0,1299.0,1479.0,1372.0,1665.0,280.0,18.327203847785448,77.40580682318989,0.12091503292322159,-0.07826671004295349,0.0,0.0,0.0,
0_+861677+204018,1370.5,17.5,1495.5,1088.5,1135.0,1005.0,1014.0,1094.0,1283.5,1460.5,1389.5,1598.5,327.5,18.327293679313858,77.40580682318989,0.15612652897834778,-0.03546437248587608,0.0,0.0,0.0,
0_+861677+204019,1450.0,27.0,1533.0,1126.0,1180.0,1019.0,1022.0,1100.0,1234.0,1408.0,1331.0,1538.0,280.0,18.32738351084227,77.40580682318989,0.1313217133283615,-0.0705307275056839,0.0,0.0,0.0,
0_+861677+204020,1450.0,27.0,1533.0,1126.0,1203.0,1044.0,1066.0,1100.0,1234.0,1408.0,1226.0,1538.0,280.0,18.327473342370684,77.40580682318989,0.06980802863836288,-0.11127220094203949,0.0,0.0,0.0,
0_+861677+204021,1370.5,17.5,1462.5,1094.0,1142.5,1004.5,1005.0,1088.0,1212.0,1356.0,1146.0,1497.0,327.5,18.327563173899094,77.40580682318989,0.06615917384624481,-0.11874733865261078,0.0,0.0,0.0,
0_+861677+204022,1370.5,17.5,1462.5,1094.0,1154.5,1038.5,1064.0,1088.0,1212.0,1356.0,1328.5,1497.0,327.5,18.327653005427507,77.40580682318989,0.11031671613454819,-0.04644853249192238,0.0,0.0,0.0,
0_+861677+204023,1374.0,18.0,1555.5,1097.0,1179.5,1054.5,1124.5,1111.0,1389.0,1592.5,1443.0,1722.0,340.0,18.32774283695592,77.40580682318989,0.12404411286115646,-0.03639058396220207,0.0,0.0,0.0,
0_+861677+204024,1374.0,18.0,1555.5,1097.0,1153.0,1037.5,1039.0,1111.0,1389.0,1592.5,1357.0,1722.0,340.0,18.32783266848433,77.40580682318989,0.1328044831752777,-0.06713882088661194,0.0,0.0,0.0,
0_+861677+204025,1374.0,18.0,1433.5,1023.0,1145.0,1015.5,1022.5,1076.0,1386.0,1555.0,1292.5,1737.0,340.0,18.327922500012743,77.40580682318989,0.11681169271469116,-0.05184889957308769,0.0,0.0,0.0,
0_+861677+204026,1374.0,18.0,1433.5,1023.0,1139.0,1009.5,1019.0,1076.0,1386.0,1555.0,1226.5,1737.0,340.0,18.328012331541156,77.40580682318989,0.09260181337594986,-0.07786379754543304,0.0,0.0,0.0,
0_+861677+204027,1374.0,18.0,1270.5,966.5,1134.5,994.0,1026.0,1007.5,1123.5,1231.5,1191.5,1306.5,340.0,18.328102163069566,77.40580682318989,0.07465784251689911,-0.032012972980737686,0.0,0.0,0.0,
