system:index,B1,B10,B11,B12,B2,B3,B4,B5,B6,B7,B8,B8A,B9,Latitude,Longitude,NDVI,NDWI,QA10,QA20,QA60,.geo
4_+861758+203947,1393.0,17.0,1425.5,1119.0,1160.0,1029.0,1089.5,1113.0,1230.0,1352.5,1293.0,1488.0,368.5,18.32091564079661,77.41308317699126,0.08557511121034622,-0.04878559708595276,0.0,0.0,0.0,
4_+861758+203948,1393.0,17.0,1419.0,1098.5,1158.0,1049.5,1106.5,1106.0,1231.5,1368.5,1319.5,1487.5,368.5,18.321005472325023,77.41308317699126,0.08775676041841507,-0.03639426827430725,0.0,0.0,0.0,
4_+861758+203949,1393.0,17.0,1419.0,1098.5,1167.5,1050.0,1088.0,1106.0,1231.5,1368.5,1225.5,1487.5,368.5,18.321095303853436,77.41308317699126,0.058581821620464325,-0.07396011799573898,0.0,0.0,0.0,
4_+861758+203950,1397.0,17.0,1361.5,1041.5,1142.5,1004.5,1020.5,1056.0,1197.0,1340.0,1157.0,1483.5,360.0,18.321185135381846,77.41308317699126,0.06255019456148148,-0.08135214447975159,0.0,0.0,0.0,
4_+861758+203951,1397.0,17.0,1361.5,1041.5,1127.0,985.0,1016.5,1056.0,1197.0,1340.0,1138.5,1483.5,360.0,18.32127496691026,77.41308317699126,0.05679505318403244,-0.0892053097486496,0.0,0.0,0.0,
4_+861758+203952,1397.0,17.0,1424.0,1063.0,1138.0,996.0,1036.5,1075.0,1234.0,1336.5,1179.5,1463.5,360.0,18.32136479843867,77.41308317699126,0.0647425651550293,-0.09390781819820404,0.0,0.0,0.0,
4_+861759+203948,1393.0,17.0,1419.0,1098.5,1156.0,1034.0,1070.5,1106.0,1231.5,1368.5,1274.0,1487.5,368.5,18.321005472325023,77.41317300851968,0.0864107608795166,-0.05419200658798218,0.0,0.0,0.0,
4_+861759+203949,1393.0,17.0,1419.0,1098.5,1156.0,1034.0,1070.5,1106.0,1231.5,1368.5,1274.0,1487.5,368.5,18.321095303853436,77.41317300851968,0.0864107608795166,-0.05419200658798218,0.0,0.0,0.0,
4_+861759+203950,1397.0,17.0,1361.5,1041.5,1139.5,997.0,1024.0,1056.0,1197.0,1340.0,1201.0,1483.5,360.0,18.321185135381846,77.41317300851968,0.07944058626890182,-0.06275184452533722,0.0,0.0,0.0,
4_+861759+203951,1397.0,17.0,1361.5,1041.5,1131.5,1001.0,1034.5,1056.0,1197.0,1340.0,1247.0,1483.5,360.0,18.32127496691026,77.41317300851968,0.09281360357999802,-0.04448539763689041,0.0,0.0,0.0,
