system:index,B1,B10,B11,B12,B2,B3,B4,B5,B6,B7,B8,B8A,B9,Latitude,Longitude,NDVI,NDWI,QA10,QA20,QA60,.geo
0_+861771+204029,1373.5,16.5,1189.0,904.0,1102.5,953.0,957.5,968.0,1035.0,1156.0,1067.0,1221.0,329.0,18.32828182612639,77.41425098686062,0.054572951048612595,-0.053887225687503815,0.0,0.0,0.0,
0_+861771+204030,1373.5,16.5,1320.5,1037.5,1119.5,974.5,991.0,1040.5,1147.0,1246.5,1123.5,1366.0,329.0,18.328371657654802,77.41425098686062,0.06325677037239075,-0.08011423051357269,0.0,0.0,0.0,
0_+861771+204031,1373.5,16.5,1320.5,1037.5,1151.0,1019.0,1079.5,1040.5,1147.0,1246.5,1247.0,1366.0,329.0,18.328461489183216,77.41425098686062,0.0722273662686348,-0.02834431827068329,0.0,0.0,0.0,
0_+861771+204032,1373.5,16.5,1418.5,1079.5,1170.0,1040.5,1109.0,1079.5,1194.5,1299.0,1271.0,1410.0,329.0,18.328551320711625,77.41425098686062,0.06816274672746658,-0.05478891730308533,0.0,0.0,0.0,
0_+861771+204033,1373.5,16.5,1418.5,1079.5,1151.0,999.0,1044.0,1079.5,1194.5,1299.0,1201.0,1410.0,329.0,18.32864115224004,77.41425098686062,0.0698552057147026,-0.0829869955778122,0.0,0.0,0.0,
0_+861771+204034,1378.0,17.0,1447.5,1083.5,1123.5,985.5,997.0,1081.0,1267.5,1460.5,1254.0,1556.0,342.5,18.328730983768452,77.41425098686062,0.11480384320020676,-0.07123640924692154,0.0,0.0,0.0,
0_+861772+204024,1373.5,17.5,1165.0,884.0,1118.5,955.5,971.0,955.5,1013.5,1131.5,1048.5,1212.5,321.0,18.32783266848433,77.41434081838904,0.0385168232023716,-0.05264108628034592,0.0,0.0,0.0,
0_+861772+204025,1373.5,17.5,1165.0,884.0,1115.0,951.5,941.0,955.5,1013.5,1131.5,1041.0,1212.5,321.0,18.327922500012743,77.41434081838904,0.05090378597378731,-0.05619792267680168,0.0,0.0,0.0,
0_+861772+204026,1373.5,17.5,1141.5,885.0,1112.5,951.0,952.0,959.5,1019.5,1131.5,1054.5,1217.5,321.0,18.328012331541156,77.41434081838904,0.05149538815021515,-0.0395432747900486,0.0,0.0,0.0,
0_+861772+204027,1373.5,17.5,1141.5,885.0,1102.5,953.5,949.5,959.5,1019.5,1131.5,1068.5,1217.5,321.0,18.328102163069566,77.41434081838904,0.05944052338600159,-0.032957255840301514,0.0,0.0,0.0,
0_+861772+204028,1373.5,16.5,1189.0,904.0,1110.0,950.5,956.0,968.0,1035.0,1156.0,1079.5,1221.0,329.0,18.32819199459798,77.41434081838904,0.06093180179595947,-0.04808095097541809,0.0,0.0,0.0,
0_+861772+204029,1373.5,16.5,1189.0,904.0,1114.5,951.5,958.5,968.0,1035.0,1156.0,1068.0,1221.0,329.0,18.32828182612639,77.41434081838904,0.054468490183353424,-0.05345886945724487,0.0,0.0,0.0,
0_+861772+204030,1373.5,16.5,1320.5,1037.5,1119.5,981.5,1003.0,1040.5,1147.0,1246.5,1129.5,1366.0,329.0,18.328371657654802,77.41434081838904,0.0602959506213665,-0.07751068472862244,0.0,0.0,0.0,
0_+861772+204031,1373.5,16.5,1320.5,1037.5,1154.0,1020.5,1084.0,1040.5,1147.0,1246.5,1249.5,1366.0,329.0,18.328461489183216,77.41434081838904,0.07118029147386551,-0.02713930234313011,0.0,0.0,0.0,
0_+861772+204032,1373.5,16.5,1418.5,1079.5,1162.0,1037.0,1104.0,1079.5,1194.5,1299.0,1271.5,1410.0,329.0,18.328551320711625,77.41434081838904,0.07069052755832672,-0.05457174405455589,0.0,0.0,0.0,
0_+861772+204033,1373.5,16.5,1418.5,1079.5,1139.0,1014.0,1041.0,1079.5,1194.5,1299.0,1246.5,1410.0,329.0,18.32864115224004,77.41434081838904,0.08982724696397781,-0.06442391872406006,0.0,0.0,0.0,
0_+861772+204034,1378.0,17.0,1447.5,1083.5,1122.5,986.0,1000.0,1081.0,1267.5,1460.5,1327.5,1556.0,342.5,18.328730983768452,77.41434081838904,0.13746492564678192,-0.04592505842447281,0.0,0.0,0.0,
0_+861773+204024,1373.5,17.5,1147.0,892.5,1117.0,955.0,970.0,941.5,1011.5,1131.0,1065.0,1194.0,321.0,18.32783266848433,77.41443064991745,0.04661429673433304,-0.037185877561569214,0.0,0.0,0.0,
0_+861773+204025,1373.5,17.5,1147.0,892.5,1110.0,946.5,953.0,941.5,1011.5,1131.0,1048.0,1194.0,321.0,18.327922500012743,77.41443064991745,0.04779331386089325,-0.045110683888196945,0.0,0.0,0.0,
0_+861773+204026,1373.5,17.5,1125.0,876.0,1124.0,945.0,959.5,934.5,1010.5,1105.5,1064.0,1207.0,321.0,18.328012331541156,77.41443064991745,0.05206400528550148,-0.02780727669596672,0.0,0.0,0.0,
0_+861773+204027,1373.5,17.5,1125.0,876.0,1107.0,950.5,955.5,934.5,1010.5,1105.5,1054.0,1207.0,321.0,18.328102163069566,77.41443064991745,0.0492672398686409,-0.03255201131105423,0.0,0.0,0.0,
0_+861773+204028,1373.5,16.5,1166.5,895.0,1103.5,944.5,952.0,955.0,1018.0,1145.5,1061.5,1209.5,329.0,18.32819199459798,77.41443064991745,0.054649461060762405,-0.046862512826919556,0.0,0.0,0.0,
0_+861773+204029,1373.5,16.5,1166.5,895.0,1109.0,946.0,961.0,955.0,1018.0,1145.5,1055.5,1209.5,329.0,18.32828182612639,77.41443064991745,0.0472593829035759,-0.04971570521593094,0.0,0.0,0.0,
0_+861773+204030,1373.5,16.5,1373.5,1067.0,1113.5,979.0,1007.5,1047.0,1155.5,1252.5,1142.5,1404.5,329.0,18.328371657654802,77.41443064991745,0.0631607323884964,-0.09139082580804825,0.0,0.0,0.0,
0_+861773+204031,1373.5,16.5,1373.5,1067.0,1156.0,1025.0,1085.0,1047.0,1155.5,1252.5,1256.0,1404.5,329.0,18.328461489183216,77.41443064991745,0.07367907464504242,-0.04388686269521713,0.0,0.0,0.0,
0_+861773+204032,1373.5,16.5,1415.5,1091.0,1167.0,1045.0,1106.0,1099.0,1154.0,1310.0,1291.5,1398.5,329.0,18.328551320711625,77.41443064991745,0.0774238109588623,-0.045940086245536804,0.0,0.0,0.0,
